The entire experience left me feeling down and hopeless.,sadness
The staff were so rude during our stay. We felt ignored and unimportant.,anger
The staff were so rude during our stay. We felt ignored and unimportant.,anger
"Everything was explained clearly, which gave me peace of mind.",calmness
Everything was handled with such care; I felt valued as a patient.,pleasantness
"Being in a hospital alone is already frightening, but not getting answers was even worse.",fear
The doctor’s optimism about my recovery lifted my spirits.,eagerness
Seeing my loved one in pain without much assistance was heartbreaking.,sadness
"I didn’t feel supported or understood, which made everything so much harder.",sadness
I couldn't believe the treatment I received; it felt like they didn't care at all.,anger
The staff were so rude during our stay. We felt ignored and unimportant.,anger
"I was terrified the whole time, nobody explained what was happening.",fear
"The nurse was so calm and gentle, it made us feel at ease.",calmness
Everything was handled with such care; I felt valued as a patient.,pleasantness
"It was a smooth process, and I felt well-cared for.",calmness
The staff were kind and always willing to help. It made a big difference.,pleasantness
The staff were kind and always willing to help. It made a big difference.,pleasantness
"Everything was explained clearly, which gave me peace of mind.",calmness
Everything was handled with such care; I felt valued as a patient.,pleasantness
"Everything was explained clearly, which gave me peace of mind.",calmness
Everything was handled with such care; I felt valued as a patient.,pleasantness
"I was terrified the whole time, nobody explained what was happening.",fear
Seeing my loved one in pain without much assistance was heartbreaking.,sadness
I was pleasantly surprised by how well they looked after me.,pleasantness
I couldn't believe the treatment I received; it felt like they didn't care at all.,anger
The lack of information made me feel so scared about my condition.,fear
"The nurse was so calm and gentle, it made us feel at ease.",calmness
The staff were kind and always willing to help. It made a big difference.,pleasantness
The entire experience left me feeling down and hopeless.,sadness
The doctor’s optimism about my recovery lifted my spirits.,eagerness
I couldn't believe the treatment I received; it felt like they didn't care at all.,anger
"It was a smooth process, and I felt well-cared for.",calmness
Seeing my loved one in pain without much assistance was heartbreaking.,sadness
Seeing my loved one in pain without much assistance was heartbreaking.,sadness
"I didn’t feel supported or understood, which made everything so much harder.",sadness
The entire experience left me feeling down and hopeless.,sadness
The staff were kind and always willing to help. It made a big difference.,pleasantness
I couldn’t be happier with the treatment and care from the staff.,joy
I couldn’t be happier with the treatment and care from the staff.,joy
Everything was handled with such care; I felt valued as a patient.,pleasantness
Everything was handled with such care; I felt valued as a patient.,pleasantness
"Being in a hospital alone is already frightening, but not getting answers was even worse.",fear
Waiting hours just to get a response! This is unacceptable.,anger
"I didn’t feel supported or understood, which made everything so much harder.",sadness
"Being in a hospital alone is already frightening, but not getting answers was even worse.",fear
I couldn’t be happier with the treatment and care from the staff.,joy
I was pleasantly surprised by how well they looked after me.,pleasantness
"I was eager to go home but appreciated the quick, effective care.",eagerness
I was pleasantly surprised by how well they looked after me.,pleasantness
"Everything was explained clearly, which gave me peace of mind.",calmness
Seeing my loved one in pain without much assistance was heartbreaking.,sadness
The doctor’s optimism about my recovery lifted my spirits.,eagerness
I felt sickened by the state of the bathrooms.,disgust
The hygiene standards were appalling. I can't believe how dirty it was.,disgust
"Being in a hospital alone is already frightening, but not getting answers was even worse.",fear
The entire experience left me feeling down and hopeless.,sadness
"I was terrified the whole time, nobody explained what was happening.",fear
The staff were kind and always willing to help. It made a big difference.,pleasantness
"Being in a hospital alone is already frightening, but not getting answers was even worse.",fear
The entire experience left me feeling down and hopeless.,sadness
"Being in a hospital alone is already frightening, but not getting answers was even worse.",fear
Seeing my loved one in pain without much assistance was heartbreaking.,sadness
Seeing my loved one in pain without much assistance was heartbreaking.,sadness
I'm incredibly grateful for the care I received. Thank you!,joy
Everything was handled with such care; I felt valued as a patient.,pleasantness
Waiting hours just to get a response! This is unacceptable.,anger
"I was terrified the whole time, nobody explained what was happening.",fear
Seeing my loved one in pain without much assistance was heartbreaking.,sadness
"The nurse was so calm and gentle, it made us feel at ease.",calmness
Seeing my loved one in pain without much assistance was heartbreaking.,sadness
The staff were kind and always willing to help. It made a big difference.,pleasantness
The hygiene standards were appalling. I can't believe how dirty it was.,disgust
"The nurse was so calm and gentle, it made us feel at ease.",calmness
Seeing my loved one in pain without much assistance was heartbreaking.,sadness
Seeing my loved one in pain without much assistance was heartbreaking.,sadness
"Being in a hospital alone is already frightening, but not getting answers was even worse.",fear
Everything was handled with such care; I felt valued as a patient.,pleasantness
Everything was handled with such care; I felt valued as a patient.,pleasantness
Everything was handled with such care; I felt valued as a patient.,pleasantness
I'm incredibly grateful for the care I received. Thank you!,joy
"I didn’t feel supported or understood, which made everything so much harder.",sadness
"Being in a hospital alone is already frightening, but not getting answers was even worse.",fear
I couldn't believe the treatment I received; it felt like they didn't care at all.,anger
I was pleasantly surprised by how well they looked after me.,pleasantness
